MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,MEMBERSHIP_STATUS,START_DATE,END_DATE
29,113125.0,M,M,25200000.0,1.0,TYPE-B,45,2,ANNUAL,INFORCE,2006-09-14,2025-04-20
38,112220.0,M,M,10339200.0,1.0,TYPE-B,36,3,QUARTERLY,INFORCE,2006-11-02,2025-04-20
12,100000.0,M,M,14400000.0,1.0,TYPE-B,42,1,ANNUAL,INFORCE,2007-01-24,2025-04-20
12,100000.0,M,M,9000000.0,1.0,TYPE-B,39,2,ANNUAL,INFORCE,2007-01-22,2025-04-20
46,100000.0,M,M,4800000.0,1.0,TYPE-B,27,2,QUARTERLY,INFORCE,2007-01-31,2025-04-20
12,110000.0,M,M,549996.0,1.0,TYPE-B,48,3,ANNUAL,INFORCE,2007-02-15,2025-04-20
36,100000.0,M,M,24000000.0,1.0,TYPE-B,39,2,ANNUAL,INFORCE,2007-02-21,2025-04-20
12,120000.0,M,M,3600000.0,1.0,TYPE-B,28,1,QUARTERLY,CANCELLED,2007-03-12,2009-08-11
35,120000.0,M,M,549996.0,1.0,TYPE-B,35,2,MONTHLY,INFORCE,2007-03-16,2025-04-20
33,102700.0,M,M,14400000.0,1.0,TYPE-B,42,2,SEMI-ANNUAL,INFORCE,2007-03-30,2025-04-20
12,1000000.0,M,M,5047008.0,1.0,TYPE-B,38,3,ANNUAL,INFORCE,2007-03-30,2025-04-20
39,100000.0,M,M,3600000.0,1.0,TYPE-B,35,3,ANNUAL,INFORCE,2007-03-30,2025-04-20
12,100000.0,M,M,549996.0,1.0,TYPE-B,42,3,QUARTERLY,CANCELLED,2007-03-28,2007-08-27
36,101350.0,M,M,21600000.0,1.0,TYPE-B,38,3,ANNUAL,INFORCE,2007-03-30,2025-04-20
12,100000.0,M,M,8400000.0,1.0,TYPE-B,39,3,QUARTERLY,INFORCE,2007-03-30,2025-04-20
12,600000.0,M,M,1740000.0,1.0,TYPE-B,36,1,ANNUAL,INFORCE,2007-03-30,2025-04-20
12,200000.0,M,M,24000000.0,1.0,TYPE-B,39,2,QUARTERLY,INFORCE,2007-04-24,2025-04-20
12,200000.0,S,M,2520000.0,1.0,TYPE-B,35,0,QUARTERLY,CANCELLED,2007-04-25,2008-06-24
12,200000.0,M,M,8880000.0,1.0,TYPE-B,29,3,ANNUAL,CANCELLED,2007-06-05,2008-08-04
12,100000.8,S,M,5040000.0,1.0,TYPE-B,28,0,MONTHLY,CANCELLED,2007-05-07,2007-09-05
12,150000.0,S,M,600000.0,1.0,TYPE-B,27,0,ANNUAL,INFORCE,2007-05-21,2025-04-20
12,100000.0,S,M,200004.0,1.0,TYPE-B,25,0,ANNUAL,INFORCE,2007-05-30,2025-04-20
37,100000.0,M,M,720000.0,1.0,TYPE-B,38,2,ANNUAL,INFORCE,2007-06-15,2025-04-20
12,100000.0,M,F,135096.0,1.0,TYPE-B,39,1,ANNUAL,INFORCE,2007-06-25,2025-04-20
12,125000.0,M,M,480000.0,1.0,TYPE-B,29,2,ANNUAL,INFORCE,2007-06-27,2025-04-20
12,100000.0,M,M,399996.0,1.0,TYPE-B,22,3,SEMI-ANNUAL,INFORCE,2007-06-29,2025-04-20
12,200000.0,S,M,200004.0,1.0,TYPE-B,22,0,SEMI-ANNUAL,INFORCE,2007-07-18,2025-04-20
12,100000.0,M,M,360000.0,1.0,TYPE-B,59,3,SEMI-ANNUAL,INFORCE,2007-07-09,2025-04-20
12,100000.0,M,M,549996.0,1.0,TYPE-B,56,0,ANNUAL,INFORCE,2007-06-29,2025-04-20
12,100000.0,S,M,1700004.0,1.0,TYPE-B,25,0,QUARTERLY,CANCELLED,2007-07-09,2007-12-08
12,100000.0,M,M,245004.0,1.0,TYPE-B,44,1,QUARTERLY,INFORCE,2007-06-29,2025-04-20
12,200000.0,M,M,1624080.0,1.0,TYPE-B,45,3,SEMI-ANNUAL,CANCELLED,2007-07-31,2009-03-19
12,500000.0,M,M,1500000.0,1.0,TYPE-B,46,3,ANNUAL,INFORCE,2007-08-24,2025-04-20
12,100000.0,M,M,1500000.0,1.0,TYPE-B,46,3,ANNUAL,INFORCE,2007-08-24,2025-04-20
12,100000.0,S,M,249996.0,1.0,TYPE-B,28,0,SEMI-ANNUAL,CANCELLED,2007-08-31,2008-10-27
47,100000.0,S,M,350004.0,1.0,TYPE-B,26,0,QUARTERLY,CANCELLED,2007-09-17,2008-08-16
64,100000.02,M,M,549996.0,1.0,TYPE-B,44,0,ANNUAL,INFORCE,2007-08-31,2025-04-20
37,100000.0,M,M,549996.0,1.0,TYPE-B,44,3,ANNUAL,INFORCE,2007-08-31,2025-04-20
12,100000.0,M,M,200004.0,1.0,TYPE-B,34,3,ANNUAL,INFORCE,2007-08-23,2025-04-20
17,201049.33,M,M,549996.0,1.0,TYPE-A,60,0,ANNUAL,INFORCE,2007-08-31,2025-04-20
12,500004.96,M,M,399996.0,1.0,TYPE-B,29,2,MONTHLY,INFORCE,2007-09-11,2025-04-20
32,100000.0,S,M,1800000.0,1.0,TYPE-B,42,0,SEMI-ANNUAL,INFORCE,2007-10-04,2025-04-20
12,100000.0,M,F,549996.0,4.0,TYPE-B,28,3,ANNUAL,INFORCE,2007-09-19,2025-04-20
12,271007.1,M,M,12000000.0,1.0,TYPE-A,51,3,ANNUAL,CANCELLED,2007-09-27,2010-10-27
53,199999.99,M,M,549996.0,1.0,TYPE-B,44,0,ANNUAL,CANCELLED,2007-09-28,2008-11-27
12,100000.0,M,M,600000.0,1.0,TYPE-B,28,3,SEMI-ANNUAL,CANCELLED,2007-10-31,2008-06-27
17,249995.88,M,M,357000.0,1.0,TYPE-B,30,2,MONTHLY,CANCELLED,2007-09-28,2009-08-27
17,100000.0,M,M,243828.0,1.0,TYPE-B,35,2,ANNUAL,INFORCE,2007-10-09,2025-04-20
17,100000.0,M,M,350004.0,1.0,TYPE-B,35,2,SEMI-ANNUAL,INFORCE,2007-09-28,2025-04-20
12,100000.0,M,M,399996.0,1.0,TYPE-B,33,1,ANNUAL,INFORCE,2007-10-05,2025-04-20
12,150000.0,M,M,1083324.0,1.0,TYPE-B,47,3,ANNUAL,INFORCE,2007-09-28,2025-04-20
17,100000.0,S,M,1800000.0,1.0,TYPE-B,42,0,SEMI-ANNUAL,INFORCE,2007-10-04,2025-04-20
37,100000.0,M,M,999996.0,1.0,TYPE-B,38,3,SEMI-ANNUAL,CANCELLED,2007-10-09,2011-06-08
12,100000.0,M,M,549996.0,1.0,TYPE-B,36,2,ANNUAL,INFORCE,2007-09-28,2025-04-20
12,200000.0,S,M,804000.0,1.0,TYPE-B,28,0,ANNUAL,INFORCE,2007-09-28,2025-04-20
17,119999.88,M,M,300000.0,1.0,TYPE-B,56,3,MONTHLY,INFORCE,2007-11-23,2025-04-20
12,100000.0,S,M,399996.0,5.0,TYPE-B,28,0,ANNUAL,CANCELLED,2007-10-26,2008-12-25
